beta1_hat,se_HC3,ci_low,ci_high,ci_length,covered,k_y,k_d,alpha
1.9616772153270028,0.08691288180088069,1.7913310972046899,2.1320233334493155,0.34069223624462563,1,17,15,0.2605088491572174
1.8022614777250388,0.08337964242715347,1.63884038152399,1.9656825739260875,0.32684219240209744,0,22,11,0.23257868578653845
2.1154287642446112,0.0744078555518746,1.9695920471960784,2.2612654812931443,0.2916734340970659,1,10,14,0.45320108839042117
1.5622734207859428,0.08936098817595696,1.3871291023381576,1.737417739233728,0.35028863689557044,0,26,13,0.14260092716650488
2.088174473458337,0.08356447390426207,1.924391114218946,2.2519578326977276,0.3275667184787816,1,11,10,0.35067916204808536
1.9062269552037665,0.0950881529721483,1.7198576000219206,2.0925963103856127,0.3727387103636921,1,11,8,0.39051305638597866
2.1596346111150933,0.10674538284975797,1.950417505213628,2.3688517170165584,0.4184342118029303,1,17,22,0.238947847651127
1.8987143095254182,0.0966690997141651,1.7092463556677433,2.088182263383093,0.3789359077153496,1,28,20,0.17725207211820782
1.7865694206218015,0.08169850080952437,1.6264433014442172,1.9466955397993857,0.3202522383551685,0,22,14,0.2209965591382218
1.8788130820359417,0.08366860682307063,1.714825626026081,2.0428005380458023,0.3279749120197213,1,10,6,0.31573126860374073
1.2395747802882637,0.07443835683926149,1.0936782818149704,1.385471278761557,0.29179299694658667,0,50,11,0.12211329196593206
2.0400375328628715,0.10812785266132513,1.8281108359210207,2.251964229804722,0.42385339388370125,1,21,20,0.21128401521647655
2.070951440680212,0.09852248025504194,1.877850927712771,2.2640519536476527,0.3862010259348816,1,16,25,0.22642980691269124
2.0019550635623076,0.0853279611862571,1.834715332763012,2.1691947943616032,0.3344794615985913,1,10,5,0.3545611312684581
1.693661621103687,0.09071530436806387,1.5158628916956927,1.8714603505116814,0.3555974588159887,0,22,13,0.1860039191423568
1.9203666390356635,0.07762722130053458,1.7682200810666953,2.072513197004632,0.30429311593793673,1,16,16,0.3103912059958541
1.8070434581820205,0.08688048475663045,1.6367608370996436,1.9773260792643974,0.3405652421647538,0,22,12,0.2404592710926431
1.445246132586519,0.08129300480271627,1.2859147709781533,1.6045774941948845,0.31866272321673117,0,27,9,0.1657379031694929
1.811791829925253,0.11352268919834177,1.5892914476683688,2.034292212182137,0.44500076451376813,1,29,29,0.16244648205066298
1.554748955294222,0.09483610486994086,1.3688736053150743,1.7406243052733696,0.37175069995829535,0,28,11,0.16500939660296166
1.8663295964305897,0.10067772653081296,1.6690048783848237,2.0636543144763557,0.394649436091532,1,16,19,0.24044853465997787
2.0560380647635714,0.09477001479067872,1.8702922489595128,2.24178388056763,0.37149163160811693,1,13,13,0.40025446598262654
1.9863453243152795,0.09811149732395628,1.7940503230910274,2.178640325539532,0.3845900024485045,1,13,15,0.2858648540496638
2.148630614959294,0.09362740717513626,1.9651242689301598,2.332136960988428,0.36701269205826836,1,9,15,0.3018536166545408
1.8795670788103487,0.08342414071203073,1.7160587675735668,2.0430753900471306,0.3270166224735638,1,13,9,0.2525798642569645
1.9494090577267602,0.07630723420946463,1.7998496269163469,2.0989684885371735,0.2991188616208267,1,12,13,0.36827996186716355
2.0203525961490403,0.11115319178486473,1.802496343484032,2.2382088488140486,0.4357125053300166,1,16,14,0.29555980967429335
2.0288333119205815,0.08159088708269516,1.8689181117718245,2.1887485120693384,0.31983040029751386,1,8,9,0.3955178389049801
1.9727378029823879,0.09154134862197601,1.7933200565870897,2.152155549377686,0.35883549279059634,1,14,14,0.299639916248349
2.082210320950493,0.06499720875410218,1.9548181326968215,2.209602509204165,0.2547843765073434,1,10,9,0.4003360760532577
2.0661063630050056,0.09860933782362995,1.8728356123313477,2.2593771136786636,0.3865415013473159,1,17,19,0.2501463365356275
2.1356674956750314,0.08784509968757719,1.9634942640690494,2.3078407272810133,0.34434646321196394,1,11,21,0.30352912156033085
2.1328074248311943,0.0867027052696824,1.9628732451404256,2.302741604521963,0.33986835938153726,1,13,19,0.30460394946230557
2.062238512073138,0.08626412229796142,1.893163939211175,2.231313084935101,0.33814914572392585,1,12,11,0.3138443962147595
2.1494122733945975,0.08386471644953572,1.9850404495798437,2.3137840972093513,0.3287436476295076,1,6,8,0.3684140033728403
1.9638360542627105,0.08182085474226473,1.8034701257835883,2.1242019827418326,0.32073185695824424,1,15,14,0.2757523362192793
2.0267750866409435,0.07264795601649476,1.8843877092981638,2.169162463983723,0.28477475468555924,1,11,12,0.3667472103312178
2.0066757142251515,0.09113114983915634,1.828061942670682,2.185289485779621,0.3572275431089391,1,13,10,0.2922487113947579
1.9655494678049377,0.11502201239375032,1.7401104660838673,2.1909884695260082,0.4508780034421409,1,12,8,0.26045343563628254
1.9646456035518685,0.09302154101079638,1.782326733384292,2.146964473719445,0.36463774033515306,1,16,11,0.3305353234930059
1.9083387021052185,0.08638828881548219,1.739020767340829,2.077656636869608,0.3386358695287788,1,9,8,0.37371831263126104
2.1216246875156335,0.08296333743790238,1.9590195341001013,2.284229840931166,0.32521030683106456,1,12,13,0.3301019258574052
