beta1_hat,se_HC3,ci_low,ci_high,ci_length,covered,k_y,k_d,alpha
1.9707206528869756,0.09556781631132036,1.7834111748356483,2.158030130938303,0.3746189561026547,1,23,33,0.16615578879028972
1.9759540757117726,0.10565370221558003,1.768876624535916,2.1830315268876292,0.41415490235171326,1,9,12,0.2895482607551678
1.9755851240040228,0.10677748209014196,1.7663051047474738,2.1848651432605717,0.41856003851309787,1,13,11,0.2229638943697618
1.9581875508709774,0.09844706322794988,1.7652348525604582,2.1511402491814966,0.3859053966210384,1,16,20,0.2744465729129497
2.078746146985304,0.0960320414496174,1.8905268043821963,2.266965489588412,0.3764386852062156,1,18,15,0.3122439338371877
2.1284492427251536,0.10672842401863993,1.9192653755218996,2.3376331099284076,0.418367734406508,1,17,21,0.21018065297811198
2.0413996345737533,0.09240218330733661,1.8602946831985054,2.222504585949001,0.3622099027504957,1,7,5,0.3431173758657037
2.2569714653237027,0.09979810477351998,2.0613707742422487,2.452572156405157,0.3912013821629081,0,22,25,0.17886871864191314
2.0790985742456445,0.07393283589374956,1.9341928786189853,2.224004269872304,0.2898113912533187,1,6,7,0.3993773383318629
2.2948328743966715,0.1617154473177936,1.9778764219100116,2.6117893268833314,0.6339129049733199,1,22,41,0.23613330316543607
2.175576166608951,0.08967591303388767,1.9998146067817852,2.351337726436117,0.3515231196543318,1,14,11,0.2629162411252862
2.0114714390087243,0.09678985468248516,1.8217668097621877,2.201176068255261,0.37940925849307305,1,12,17,0.22031515379460498
2.021796110308601,0.08758412598250283,1.8501343777654768,2.1934578428517253,0.34332346508624845,1,12,11,0.27793936241362
2.442390373199436,0.11200252219820576,2.222869463513305,2.661911282885567,0.43904181937226205,0,14,26,0.27786198411390917
1.8948930327933193,0.09233888438742896,1.7139121450213506,2.075873920565288,0.3619617755439375,1,8,4,0.24136167007466117
2.163363174665525,0.08989698893053778,1.9871683140430751,2.339558035287975,0.35238972124489987,1,15,8,0.23071874976404103
2.122783721497722,0.10169576615508787,1.9234636824535425,2.3221037605419017,0.3986400780883592,1,8,15,0.36765147819260524
2.0000120066477445,0.08863741807780709,1.826285859532623,2.1737381537628657,0.3474522942302427,1,12,10,0.2642835696820544
1.571520742117562,0.09072720221887172,1.3936986933504911,1.749342790884633,0.35564409753414195,0,27,6,0.12287965380086541
2.110970981435165,0.11200746440619332,1.8914403851993742,2.330501577670956,0.4390611924715817,1,8,11,0.32866254076616896
1.7021764984607908,0.07127970504933634,1.5624708437354538,1.8418821531861278,0.27941130945067405,0,14,7,0.2208795093338374
1.754532224694905,0.08387967305760329,1.590131086467008,1.9189333629228023,0.3288022764557943,0,23,10,0.14410873463416105
2.2139048618744352,0.09609589258801239,2.0255603733397014,2.402249350409169,0.3766889770694677,0,10,8,0.2707573838546448
2.182140131663248,0.10678175250161691,1.9728517425540089,2.391428520772487,0.41857677821847794,1,15,23,0.2266366812144846
2.1256215174895443,0.08346714021294724,1.9620289287796129,2.2892141061994757,0.32718517741986286,1,13,8,0.2832527484243163
2.151877177100647,0.09110774151033743,1.9733092850276006,2.330445069173693,0.3571357841460925,1,18,9,0.220996995377086
2.033054906970433,0.09750496115754566,1.8419486947876664,2.2241611191531994,0.38221242436553293,1,8,11,0.33537275483460416
1.862288932803239,0.09614868909320733,1.6738409650198136,2.0507369005866645,0.37689593556685086,1,27,20,0.11459987984429701
1.8578499001487607,0.08708667296697169,1.6871631576000783,2.028536642697443,0.34137348509736487,1,19,15,0.18194044631010892
1.9766194943192845,0.07187479427023459,1.8357474861533989,2.11749150248517,0.28174401633177126,1,8,8,0.3670944861045984
1.819183640595159,0.07417444473955585,1.6738044003323729,1.964562880857945,0.29075848052557207,0,23,15,0.15553435124169987
1.8864075861632466,0.0724729087231056,1.7443632952111008,2.0284518771153923,0.28408858190429154,1,16,10,0.17082461620393585
1.9138794422709182,0.088889966741156,1.7396583088712891,2.088100575670547,0.34844226679925794,1,10,9,0.2673894409729931
1.9051818552503255,0.09848067685785677,1.712163275435799,2.098200435064852,0.38603715962905305,1,8,8,0.330739489432269
2.059140859591876,0.08046825226483464,1.9014259832539167,2.2168557359298355,0.3154297526759189,1,7,9,0.3446269375763756
1.8533213650721538,0.0921194564144146,1.672770548224494,2.0338721819198136,0.36110163369531967,1,18,13,0.17185776585642354
1.966526081782694,0.08526691219775381,1.7994060048021574,2.1336461587632303,0.33424015396107287,1,11,14,0.22860022236853528
1.9460348602306556,0.0796571726740126,1.7899096706793027,2.1021600497820083,0.3122503791027056,1,11,5,0.27292311261606206
1.7056222827375578,0.08794995434705202,1.5332435397753938,1.8780010256997217,0.34475748592432787,0,14,14,0.220000265037353
1.979618802938365,0.08430764260492783,1.8143788598112318,2.144858746065498,0.33047988625426616,1,7,6,0.40641118205371396
2.2424238061040507,0.1200916063617044,2.007048582789549,2.4777990294185526,0.4707504466290038,0,9,8,0.3141500452538624
1.9952908186031166,0.12382114791901504,1.7526058281574406,2.237975809048793,0.4853699808913523,1,11,10,0.2740169418422911
1.9252871342811935,0.0858325793528265,1.7570583700494773,2.09351589851291,0.3364575284634326,1,6,4,0.3254332958406904
2.044968887217673,0.0953694599335191,1.8580481805229399,2.231889593912406,0.3738414133894663,1,16,20,0.16002394296946262
1.9526504328714713,0.10384067220026579,1.7491264552285208,2.156174410514422,0.4070479552859012,1,16,12,0.17974673618604117
2.086413551086417,0.0906744653132236,1.908694864755072,2.2641322374177615,0.3554373726626894,1,12,12,0.3212375326165548
1.9521987763018562,0.09431665677868,1.767341525873418,2.1370560267302947,0.36971450085687674,1,15,15,0.21004450779872952
1.9860786239472628,0.09754475076530095,1.794894425566337,2.1772628223281885,0.3823683967618514,1,8,8,0.2925093219546143
2.0795967378599665,0.10274700556925444,1.8782163074248914,2.2809771682950415,0.40276086087015006,1,6,8,0.3177537466175731
1.9517669230578827,0.08245446630964055,1.7901591387265159,2.1133747073892493,0.3232155686627334,1,7,8,0.31445449790500246
1.6868727563358128,0.10894711274831378,1.4733403391294932,1.9004051735421323,0.4270648344126391,0,11,22,0.20941800947697384
2.033483888812415,0.08603907753910477,1.8648503955727207,2.2021173820521094,0.3372669864793887,1,10,12,0.28003062410086726
1.9414481716122434,0.09320138123368185,1.7587768210848398,2.124119522139647,0.36534270105480715,1,20,14,0.1667590094257522
