beta1_hat,se_HC3,ci_low,ci_high,ci_length,covered,k_y,k_d,alpha
1.9952903136764233,0.05555011664078041,1.8864140857234946,2.1041665416293522,0.21775245590585768,1,12,13,0.21353713139859817
1.8835292307551001,0.05985930076657259,1.766207157112867,2.000851304397333,0.23464414728446603,1,9,12,0.22200431896970219
1.946525554018892,0.06641285917668388,1.816358741922261,2.0766923661155228,0.26033362419326167,1,15,13,0.188718446873082
1.8551020772850735,0.08531759407445152,1.6878826656515407,2.0223214889186063,0.33443882326706564,1,19,21,0.126530029965676
1.975104463323198,0.06515173095805403,1.8474094171149689,2.1027995095314274,0.2553900924164585,1,13,10,0.24614061394019607
1.7866455064751368,0.0744551807717724,1.6407160337000437,1.9325749792502298,0.2918589455501861,0,47,33,0.05492520382877969
1.964438999276597,0.07198494009919264,1.8233511092529062,2.105526889300288,0.28217578004738164,1,17,19,0.1654683355447329
1.8358765741323548,0.0662288624621036,1.706070388969575,1.9656827592951347,0.2596123703255597,0,32,19,0.10166820902452975
1.866511123593278,0.07157215667291965,1.7262322742184975,2.0067899729680585,0.28055769874956105,1,21,17,0.14706722490325108
2.028657647922485,0.08882942967827617,1.8545551649858303,2.2027601308591396,0.3482049658733093,1,12,21,0.26065153589338347
1.947272054935893,0.0643300610239915,1.821187452205606,2.07335665766618,0.2521692054605742,1,15,14,0.20805958039088643
2.0837637763257146,0.09461153032490717,1.8983285843666775,2.2691989682847518,0.37087038391807425,1,11,17,0.22268272156310862
2.078549535152063,0.06859318841602266,1.9441093562718885,2.212989714032237,0.2688803577603487,1,24,24,0.1293803706203805
1.9807833737971752,0.07163983790331548,1.8403718716483894,2.121194875945961,0.2808230042975717,1,17,15,0.17706986062959634
2.0032135040141683,0.07394152790222412,1.8582907723639455,2.148136235664391,0.2898454633004457,1,11,9,0.23090165510580588
1.8917125958382717,0.0813647159366559,1.732240682990094,2.0511845086864495,0.3189438256963555,1,17,17,0.20751919049095333
2.0200788270061985,0.07178438410505344,1.8793840195079041,2.160773634504493,0.28138961499658866,1,6,8,0.24195136173822027
2.1064627392970854,0.07970947842653764,1.9502350323545992,2.2626904462395716,0.31245541388497244,1,16,16,0.2387367719226193
