treatment_effect_hat,standard_error_HC3,ci_lower,ci_upper,ci_length,covered,n_selected_outcome_controls,n_selected_treatment_controls,lasso_penalty,outcome_lasso_penalty,treatment_lasso_penalty
2.0674739180894135,0.06993826917746816,1.9303974293605082,2.204550406818319,0.27415297745781064,1,6,7,0.41390289836346544,0.41390289836346544,0.17516853539343188
2.067488037283441,0.06792578103861044,1.934355952826011,2.2006201217408714,0.2662641689148604,1,5,2,0.425124058664522,0.425124058664522,0.177755379123989
1.9242014138169017,0.07890351641330676,1.7695533633932554,2.078849464240548,0.30929610084729275,1,2,4,0.38634218917491847,0.38634218917491847,0.16787225699848868
1.9656282554015898,0.07871254335104022,1.8113545053020033,2.119902005501176,0.3085475001991729,1,4,4,0.4174439782705922,0.4174439782705922,0.18085193400979477
1.9952511505115162,0.061080192015360545,1.8755361739926186,2.114966127030414,0.23942995303779546,1,6,5,0.44905042056143,0.44905042056143,0.19543858186808952
2.0057175155855664,0.06870997709465333,1.8710484351014738,2.140386596069659,0.2693381609681851,1,5,4,0.4092260956291756,0.4092260956291756,0.17590727772956088
2.0064133688304877,0.0666719148357135,1.8757388169721676,2.137087920688808,0.26134910371664044,1,8,11,0.43096596872050935,0.43096596872050935,0.18916680740847455
2.1434580668212533,0.06459313581457862,2.016857846976175,2.2700582866663317,0.2532004396901568,0,5,4,0.44029206930945913,0.44029206930945913,0.18282060374799536
1.8950851246645428,0.05515856351756253,1.7869763267311554,2.0031939225979305,0.21621759586677514,1,6,7,0.41407856665062337,0.41407856665062337,0.18984379795911593
1.9139821460578224,0.07460295193259722,1.767763047129559,2.060201244986086,0.2924381978565269,1,5,5,0.41188100215989465,0.41188100215989465,0.1820916701467823
2.064662517820107,0.058133101761532364,1.9507237320579016,2.1786013035823126,0.22787757152441102,1,6,7,0.44263959787600726,0.44263959787600726,0.1866423239054144
2.0671785714490407,0.0728581329899564,1.9243792548078966,2.209977888090185,0.2855986332822882,1,2,2,0.44336389750905736,0.44336389750905736,0.18978079065881812
2.0715064641487606,0.06879290870089122,1.9366748407032617,2.2063380875942595,0.26966324689099785,1,3,5,0.4305478907295784,0.4305478907295784,0.18139599619282715
2.1455943047957255,0.07821195425394575,1.9923016912974976,2.2988869182939533,0.30658522699645574,1,11,11,0.43364810300692885,0.43364810300692885,0.17647599786832446
1.967087597883563,0.0792550206198958,1.8117506118745879,2.122424583892538,0.3106739720179501,1,4,5,0.4196865814977369,0.4196865814977369,0.18275058057331361
2.0348429963121006,0.05662735876962285,1.9238554125840115,2.14583058004019,0.2219751674561783,1,3,3,0.44940174180170966,0.44940174180170966,0.19642123412089896
2.0268146149559243,0.06851999654838543,1.89251788950028,2.1611113404115687,0.2685934509112886,1,5,9,0.441359067056131,0.441359067056131,0.1931939301423558
2.239283877970645,0.07066437661379917,2.100784244817624,2.377783511123666,0.2769992663060421,0,5,4,0.46057249756986834,0.46057249756986834,0.1853800026396227
1.8357324580459775,0.06827663334344378,1.7019127157071812,1.9695522003847739,0.2676394846775927,0,8,5,0.3890653736750482,0.3890653736750482,0.17718662719395875
2.101999661417369,0.05498784476983131,1.9942254660810206,2.2097738567537175,0.21554839067269693,1,3,3,0.46048924909843664,0.46048924909843664,0.1973808715911723
1.9002854432789462,0.08664820328513387,1.7304580855149787,2.0701128010429137,0.339654715527935,1,4,5,0.3866728430656055,0.3866728430656055,0.16801761641944277
2.026497751986592,0.07671370763525125,1.8761416479009643,2.1768538560722197,0.30071220817125544,1,4,3,0.413302277612071,0.413302277612071,0.17422970880152894
1.9619293648368705,0.06977196110466112,1.8251788339410053,2.0986798957327357,0.2735010617917304,1,6,5,0.4230358100532706,0.4230358100532706,0.18707700417416967
2.0423805399954587,0.07632805528373908,1.8927803006293478,2.1919807793615695,0.2992004787322218,1,2,2,0.41899223196774427,0.41899223196774427,0.17497625528638217
1.918861500530548,0.0703733414021163,1.7809322859106587,2.0567907151504374,0.27585842923977877,1,5,4,0.4275818961357679,0.4275818961357679,0.18507251234331007
1.9759738601189685,0.06734912760017484,1.8439719956324332,2.1079757246055038,0.26400372897307056,1,9,9,0.43788542797066676,0.43788542797066676,0.19338904997293185
1.8692872043408457,0.07287282884252641,1.7264590843579424,2.0121153243237493,0.2856562399658069,1,3,3,0.39210349302663006,0.39210349302663006,0.17649095661893893
2.022148467426886,0.0766806199325288,1.8718572140469254,2.172439720806847,0.3005825067599215,1,9,8,0.4350443653979382,0.4350443653979382,0.18628272589879852
1.9551502559332254,0.062088614285443974,1.8334588080837562,2.0768417037826947,0.24338289569893856,1,5,6,0.4165734023510912,0.4165734023510912,0.1830331254148042
1.9466885999486327,0.0743810430384675,1.8009044344607128,2.0924727654365527,0.2915683309758399,1,9,9,0.3835690039278104,0.3835690039278104,0.16356683706300681
2.0091209519735367,0.05840686388081249,1.894645602317211,2.1235963016298625,0.22895069931265155,1,6,6,0.44925154052772304,0.44925154052772304,0.1947613295466459
