treatment_effect_hat,standard_error_HC3,ci_lower,ci_upper,ci_length,covered,n_selected_outcome_controls,n_selected_treatment_controls,lasso_penalty,outcome_lasso_penalty,treatment_lasso_penalty
1.714270859728621,4.91311464583537,-7.9152568980249685,11.34379861748221,19.25905551550718,1,200,200,,,
2.049062298087172,inf,-inf,inf,inf,1,200,200,,,
2.003487482052765,inf,-inf,inf,inf,1,200,200,,,
1.7139373187392872,12.884440625101805,-23.539102267404992,26.966976904883566,50.50607917228856,1,200,200,,,
2.792539411843494,1.688872941473509,-0.5175907279088063,6.1026695515957945,6.620260279504601,1,200,200,,,
2.5435574078732643,1.9151659054203747,-1.2100987911697136,6.297213606916243,7.507312398085956,1,200,200,,,
1.9766363167975372,2.0708519049533742,-2.0821588342272395,6.035431467822313,8.117590302049553,1,200,200,,,
5.656399160168737,inf,-inf,inf,inf,1,200,200,,,
2.9137858854154213,3.1584814019274257,-3.276723908201912,9.104295679032754,12.381019587234666,1,200,200,,,
1.5880384392683138,inf,-inf,inf,inf,1,200,200,,,
2.62001250085662,inf,-inf,inf,inf,1,200,200,,,
2.282753850402187,34.47250152750158,-65.28210760050291,69.84761530130729,135.1297229018102,1,200,200,,,
1.9424277422436922,1.5237799664499823,-1.044126112361925,4.92898159684931,5.973107709211234,1,200,200,,,
4.947940206104223,inf,-inf,inf,inf,1,200,200,,,
1.9349296480811418,12.04324985995286,-21.669406334243515,25.539265630405797,47.20867196464931,1,200,200,,,
1.8735796568701846,5.619468217993402,-9.140375662664361,12.88753497640473,22.02791063906909,1,200,200,,,
1.645478010431028,8.490440029025326,-14.995478659355822,18.286434680217877,33.2819133395737,1,200,200,,,
2.4539876275964936,3.717328513212313,-4.831842377003466,9.739817632196452,14.571660009199917,1,200,200,,,
3.1033728211442146,8.18910587725265,-12.946979763856264,19.153725406144694,32.10070517000096,1,200,200,,,
1.0818385971458406,21.18760754097321,-40.445109101730914,42.60878629602259,83.05389539775351,1,200,200,,,
1.6280467794500866,1.3866031978727995,-1.0896455492286665,4.345739108128839,5.435384657357506,1,200,200,,,
1.47217573606213,3.784517666185781,-5.94534258851758,8.889694060641839,14.835036649159418,1,200,200,,,
2.519757862172604,inf,-inf,inf,inf,1,200,200,,,
1.9003954414526087,0.3255305781288629,1.2623672324535353,2.538423650451682,1.2760564179981468,1,200,200,,,
1.9062627913467074,inf,-inf,inf,inf,1,200,200,,,
1.6398905912502844,11.03147259527772,-19.981398391934643,23.261179574435214,43.24257796636986,1,200,200,,,
3.12783049614894,17.457679996452825,-31.08859355052394,37.344254542821815,68.43284809334575,1,200,200,,,
1.9972568541910927,20.94089931639065,-39.04615160981402,43.040665318196204,82.08681692801022,1,200,200,,,
0.5908961032540438,2.8270636389185078,-4.9500468110289795,6.131839017537066,11.081885828566046,1,200,200,,,
2.555584957968053,4.27493288333035,-5.823129529685401,10.934299445621507,16.757428975306908,1,200,200,,,
1.5001498924356667,8.104107067780964,-14.383608087271524,17.383907872142856,31.767515959414382,1,200,200,,,
2.4517223503113064,15.215872360558569,-27.370839469741945,32.27428417036456,59.645123640106505,1,200,200,,,
1.7159914592421464,11.099185150412037,-20.03801169330723,23.469994611791524,43.50800630509875,1,200,200,,,
2.9122292347591743,inf,-inf,inf,inf,1,200,200,,,
2.392475041373536,18.83128730770787,-34.51616986426013,39.3011199470072,73.81728981126733,1,200,200,,,
